Temperament,Height,Weight,Life Expectancy,breed,link
"Loyal, Loving, Confident Guardian","24-27 inches (male), 22-25 inches (female)","95-135 pounds (male), 80-100 pounds (female)",9-10 years,Rottweiler,https://www.akc.org/dog-breeds/rottweiler/
"Alert, Inquisitive, Lively",10-12 inches,9-15 pounds,12-14 years,Russell Terrier,https://www.akc.org/dog-breeds/russell-terrier/
"Loyal, Smart, Charming",8-11 inches,Up to 6.5 pounds,12-14+ years,Russian Toy,https://www.akc.org/dog-breeds/russian-toy/
"Playful, Charming, Inquisitive",9-10 inches,4.5-11 pounds,12-16 years,Russian Tsvetnaya Bolonka,https://www.akc.org/dog-breeds/russian-tsvetnaya-bolonka/
"Playful, Charming, Inquisitive","28-30 inches (males), 26-28 inches (female)","140-180 pounds (male), 120-140 pounds (female)",8-10 years,Saint Bernard,https://www.akc.org/dog-breeds/st-bernard/
"Gentle, Dignified, Independent-Minded","23-28 inches (male), considerably smaller (female)",40-65 pounds,10-17 years,Saluki,https://www.akc.org/dog-breeds/saluki/
"Adaptable, Friendly, Gentle","21-23.5 inches (male), 19-21 inches (female)","45-65 pounds (male), 35-50 pounds (female)",12-14 years,Samoyed,https://www.akc.org/dog-breeds/samoyed/
"Friendly, Watchful, Lively",16-20 inches,26-55 pounds,12-15 years,Schapendoes,https://www.akc.org/dog-breeds/schapendoes/
"Confident, Alert, Curious","11-13 inches (male), 10-12 inches (female)",10-16 pounds,12-14 years,Schipperke,https://www.akc.org/dog-breeds/schipperke/
"Gentle, Dignified, Polite","30-32 inches (male), 28 inches & up (female)","85-110 pounds (male), 75-95 pounds (female)",8-11 years,Scottish Deerhound,https://www.akc.org/dog-breeds/scottish-deerhound/
"Confident, Independent, Spirited",10 inches,"19-22 pounds (male), 18-21 pounds (female)",12 years,Scottish Terrier,https://www.akc.org/dog-breeds/scottish-terrier/
"Alert, Outgoing, Sense Of Humor",10.5 inches,"23-24 pounds (male), slightly less (females)",12-14 years,Sealyham Terrier,https://www.akc.org/dog-breeds/sealyham-terrier/
"Friendly, Intelligent, Eager to Please",19-23 inches,40-60 pounds,11-13 years,Segugio Italiano,https://www.akc.org/dog-breeds/segugio-italiano/
"Playful, Energetic, Bright",13-16 inches,15-25 pounds,12-14 years,Shetland Sheepdog,https://www.akc.org/dog-breeds/shetland-sheepdog/
"Alert, Active, Attentive","14.5-16.5 inches (male), 13.5-15.5 inches (female)","23 pounds (male), 17 pounds (female)",13-16 years,Shiba Inu,https://www.akc.org/dog-breeds/shiba-inu/
"Affectionate, Playful, Outgoing",9-10.5 inches,9-16 pounds,10-18 years,Shih Tzu,https://www.akc.org/dog-breeds/shih-tzu/
"Energetic, Alert, Enthusiastic",17-22 inches,35-55 pounds,10-12 years,Shikoku,https://www.akc.org/dog-breeds/shikoku/
"Loyal, Mischievous, Outgoing","21-23.5 inches (male), 20-22 inches (female)","45-60 pounds (male), 35-50 pounds (female)",12-14 years,Siberian Husky,https://www.akc.org/dog-breeds/siberian-husky/
"Friendly, Quick, Keenly Alert",9-10 inches,around 10 pounds,13-15 years,Silky Terrier,https://www.akc.org/dog-breeds/silky-terrier/
"Courageous, Good-Tempered, Canny","10 inches (male), 9.5 inches (female)","35-45 pounds (male), slightly lighter (female)",12-14 years,Skye Terrier,https://www.akc.org/dog-breeds/skye-terrier/
"Reserved, Graceful, Noble","26-29 inches (male), 24-27 inches (female)",35-50 pounds,10-15 years,Sloughi,https://www.akc.org/dog-breeds/sloughi/
,"24.5-26.5 in (male), 22.5-26 in (female)",50-65 lbs,12-15 years,Slovakian Wirehaired Pointer,https://www.akc.org/dog-breeds/slovakian-wirehaired-pointer/
"Courageous, Alert, Faithful",23-27.5 inches,68-97 pounds,11-13 years,Slovensky Cuvac,https://www.akc.org/dog-breeds/slovensky-cuvac/
"Courageous, Alert, Determined",16-20 inches,33-44 pounds,12-13 years,Slovensky Kopov,https://www.akc.org/dog-breeds/slovensky-kopov/
"Intelligent, Devoted, Self-Confident",20.5-21 inches,40-60 pounds,12 to 14 years,Small Munsterlander Pointer,https://www.akc.org/dog-breeds/small-munsterlander-pointer/
"Friendly, Independent, Amusing",15½ inches,"18 pounds (male), 15-17 (female)",12-15 years,Smooth Fox Terrier,https://www.akc.org/dog-breeds/smooth-fox-terrier/
"Friendly, Happy, Deeply Devoted","18-19 inches (male), 17-18 inches (female)","35-40 pounds (male), 30-35 pounds (female)",12-14 years,Soft Coated Wheaten Terrier,https://www.akc.org/dog-breeds/soft-coated-wheaten-terrier/
"Affectionate, Intelligent, Kind",Minimum 28-35 inches,140-200 pounds,10-12 years,Spanish Mastiff,https://www.akc.org/dog-breeds/spanish-mastiff/
Playful but also Work-Oriented. Very Active and Upbeat.,"17.5-19.75 inches (male), 15.75-18 inches (female)","40-49 pounds (male), 31-40 pounds (female)",12-14 years,Spanish Water Dog,https://www.akc.org/dog-breeds/spanish-water-dog/
"Sociable, Patient, Docile","23-27 inches (male), 22-25 inches (female)",,10-12 years,Spinone Italiano,https://www.akc.org/dog-breeds/spinone-italiano/
"Intelligent, Responsive, Loving",19-21 inches,40-60 pounds,13-15 years,Stabyhoun,https://www.akc.org/dog-breeds/stabyhoun/
"Clever, Brave, Tenacious",14-16 inches,"28-38 pounds (male), 24-34 pounds (female)",12-14 years,Staffordshire Bull Terrier,https://www.akc.org/dog-breeds/staffordshire-bull-terrier/
"Fearless, Smart, Spirited","18.5-19.5 inches (male), 17.5-18.5 inches (female)","35-50 pounds (male), 30-45 pounds (female)",13-16 years,Standard Schnauzer,https://www.akc.org/dog-breeds/standard-schnauzer/
"Friendly, Merry, Even-Tempered",13-15 inches,35-45 pounds,13-15 years,Sussex Spaniel,https://www.akc.org/dog-breeds/sussex-spaniel/
"Playful, Intelligent, Lively",16-20 inches,30-45 pounds,12-14 years,Swedish Lapphund,https://www.akc.org/dog-breeds/swedish-lapphund/
"Friendly, Energetic, Watchful","12.5-13.75 inches (male), 11.5-12.75 inches (female)",20-35 pounds,12-15 years,Swedish Vallhund,https://www.akc.org/dog-breeds/swedish-vallhund/
"Loyal, Versatile, Intelligent",17-20 inches,26-40 pounds,9-13 years,Taiwan Dog,https://www.akc.org/dog-breeds/taiwan-dog/
"Playful, Versatile, Intelligent",8-15 inches,8-25 pounds,14-16 years,Teddy Roosevelt Terrier,https://www.akc.org/dog-breeds/teddy-roosevelt-terrier/
"Loyal, Independent, Agile",20-24 inches,35-75 pounds,12-13 years,Thai Ridgeback,https://www.akc.org/dog-breeds/thai-ridgeback/
"Independent, Reserved, Intelligent","minimum 26 inches (male), minimum 24 inches (female)","90-150 pounds (male), 70-120 pounds (female)",10-12 years,Tibetan Mastiff,https://www.akc.org/dog-breeds/tibetan-mastiff/
"Playful, Bright, Self-Confident",10 inches,9-15 pounds,12-15 years,Tibetan Spaniel,https://www.akc.org/dog-breeds/tibetan-spaniel/
"Affectionate, Loyal, Sensitive",14-17 inches,"18-30 pounds (male), slightly smaller (female)",15-16 years,Tibetan Terrier,https://www.akc.org/dog-breeds/tibetan-terrier/
"Friendly, Courageous, Intelligent",23-28 inches,62-110 pounds,12-14 years,Tornjak,https://www.akc.org/dog-breeds/tornjak/
"Fearless, Patient, Vigilant",Minimum 21.5-23.5 inches,100-200 pounds,10-12 years,Tosa,https://www.akc.org/dog-breeds/tosa/
"Friendly, Alert, Intelligent",8.5-11.5 inches,3.5-7 pounds,13-15 years,Toy Fox Terrier,https://www.akc.org/dog-breeds/toy-fox-terrier/
"Courageous, Good-Natured, Determined",22-26 inches,Minimum 55 pounds,10-14 years,Transylvanian Hound,https://www.akc.org/dog-breeds/transylvanian-hound/
"Friendly, Alert, Intelligent",16-24 inches,30-50 pounds,10-12 years,Treeing Tennessee Brindle,https://www.akc.org/dog-breeds/treeing-tennessee-brindle/
"Smart, Brave, Courteous","22-27 inches (male), 20-25 inches (female)",50-70 pounds,12-13 years,Treeing Walker Coonhound,https://www.akc.org/dog-breeds/treeing-walker-coonhound/
"Affectionate, Gentle, Energetic","22-24 inches (male), 21-23 inches (female)","55-60 pounds (male), 44-55 pounds (female)",12-14 years,Vizsla,https://www.akc.org/dog-breeds/vizsla/
"Friendly, Fearless, Obedient","25-27 inches (male), 23-25 inches (female)","70-90 pounds (male), 55-75 pounds (female)",10-13 years,Weimaraner,https://www.akc.org/dog-breeds/weimaraner/
"Happy, Reserved, Upbeat","18-19 inches (male), 17-18 inches (female)","40-55 pounds (male), 35-50 pounds (female)",12-15 years,Welsh Springer Spaniel,https://www.akc.org/dog-breeds/welsh-springer-spaniel/
"Friendly, Spirited, Intelligent","15 inches (male), porportionally smaller (female)","20 pounds, porportionally smaller (female)",12-15 years,Welsh Terrier,https://www.akc.org/dog-breeds/welsh-terrier/
"Loyal, Happy, Entertaining","11 inches (male). 10 inches, female",15-20 pounds,13-15 years,West Highland White Terrier,https://www.akc.org/dog-breeds/west-highland-white-terrier/
"Loyal, Good-Natured, Intelligent","23 inches (male), 21. 5 inches (female)",50-75 pounds,13 years,Wetterhoun,https://www.akc.org/dog-breeds/wetterhoun/
"Affectionate, Playful, Calm","19-22 inches (male), 18-21 inches (female)",25-40 pounds,12-15 years,Whippet,https://www.akc.org/dog-breeds/whippet/
"Confident, Alert, Gregarious",15½ inches,"18 pounds (male), 15-17 (female)",12-15 years,Wire Fox Terrier,https://www.akc.org/dog-breeds/wire-fox-terrier/
"Friendly, Devoted, Trainable","22-24 inches (male), 20-22 inches (female)","50-70 pounds (male), 35-50 pounds (female)",12-15 years,Wirehaired Pointing Griffon,https://www.akc.org/dog-breeds/wirehaired-pointing-griffon/
"Gentle, Loyal, Trainable","23-25 inches (male), 21.5-23 inches (female)","55-65 pounds (male), 45-55 pounds (female)",12-14 years,Wirehaired Vizsla,https://www.akc.org/dog-breeds/wirehaired-vizsla/
"Alert, Eager, Intelligent",19-25 inches,28-60 pounds,12-15 years,Working Kelpie,https://www.akc.org/dog-breeds/working-kelpie/
"Loyal, Alert, Calm","10-14 inches (toy), 14-18 inches (miniature), 18-23 inches (standard)","10-15 pounds (toy), 15-30 pounds (miniature), 30-55 pounds (standard)",13-18 years,Xoloitzcuintli,https://www.akc.org/dog-breeds/xoloitzcuintli/
"Affectionate, Intelligent, Active",21-23 inches,40-55 pounds,10-12 years,Yakutian Laika,https://www.akc.org/dog-breeds/yakutian-laika/
"Affectionate, Sprightly, Tomboyish",7-8 inches,7 pounds,11-15 years,Yorkshire Terrier,https://www.akc.org/dog-breeds/yorkshire-terrier/
